Internal ID Number,Name,Common Name,Type,Constellation,V,RAJ2000,DEJ2000
notype_Cnc_IC 2376,IC 2376,,-,Cancer,,127.1002,30.4
notype_Cnc_IC 2381,IC 2381,,-,Cancer,,127.1002,19.7834
Gal_Cnc_IC 2378,IC 2378,,Gal,Cancer,,127.1252,30.4334
Gal_Cnc_IC 2380,IC 2380,,Gal,Cancer,15.0,127.1502,30.4167
Gal_Cnc_IC 2382,IC 2382,,Gal,Cancer,15.0,127.1752,22.0667
OpC_Car_NGC 2609,NGC 2609,,OpC,Carina,,127.3751,-61.1
Gal_Cnc_IC 2383,IC 2383,,Gal,Cancer,16.0,127.4002,30.6834
Gal_Cnc_NGC 2597,NGC 2597,,Gal,Cancer,15.0,127.5002,21.5
Gal_Cnc_NGC 2598,NGC 2598,,Gal,Cancer,13.7,127.5002,21.4834
Gal_Cnc_IC  509,IC  509,,Gal,Cancer,,128.0002,24.0
Gal_Hya_IC  510,IC  510,,Gal,Hydra,15.0,128.0252,-2.1667
Gal_Cnc_NGC 2599,NGC 2599,,Gal,Cancer,13.0,128.0502,22.5667
Gal_Hya_IC  513,IC  513,,Gal,Hydra,14.0,128.2502,-12.35
Gal_Cnc_NGC 2604,NGC 2604,,Gal,Cancer,13.0,128.3252,29.55
PN_Hya_NGC 2610,NGC 2610,,PN,Hydra,14.0,128.3502,-16.15
Gal_Pyx_NGC 2613,NGC 2613,,Gal,Pyxis,10.4,128.3502,-22.9667
Gal_Hya_NGC 2612,NGC 2612,,Gal,Hydra,13.0,128.4502,-13.15
Gal_Cnc_NGC 2607,NGC 2607,,Gal,Cancer,15.0,128.4752,26.9834
Gal_Cnc_IC 2384,IC 2384,,Gal,Cancer,16.0,128.6252,32.4334
Gal_Hya_NGC 2615,NGC 2615,,Gal,Hydra,13.0,128.6502,-2.5333
Gal_UMa_NGC 2600,NGC 2600,,Gal,Ursa Major,15.0,128.7002,52.7334
notype_Cnc_IC 2386,IC 2386,,-,Cancer,,128.7002,25.8167
Gal_Lyn_IC 2385,IC 2385,,Gal,Lynx,15.0,128.7752,37.2834
Gal_UMa_NGC 2602,NGC 2602,,Gal,Ursa Major,15.0,128.8002,52.8334
Gal_Cnc_NGC 2608,NGC 2608,,Gal,Cancer,12.1,128.8252,28.4667
notype_UMa_NGC 2605,NGC 2605,,-,Ursa Major,,128.8502,52.85
Gal_Hya_IC  514,IC  514,,Gal,Hydra,15.0,128.8502,-2.05
Gal_UMa_NGC 2603,NGC 2603,,Gal,Ursa Major,15.0,128.8752,52.7834
Gal_Cnc_NGC 2611,NGC 2611,,Gal,Cancer,15.0,128.8752,25.0334
Gal_Hya_IC  515,IC  515,,Gal,Hydra,16.0,128.8752,-1.9
Gal_Hya_NGC 2616,NGC 2616,,Gal,Hydra,12.6,128.9002,-1.85
Nb_Vel_NGC 2626,NGC 2626,,Nb,Vela,,128.9002,-40.6667
Gal_UMa_NGC 2606,NGC 2606,,Gal,Ursa Major,15.0,128.9252,52.8
Gal_Hya_NGC 2617,NGC 2617,,Gal,Hydra,15.0,128.9252,-4.05
Gal_Hya_IC  516,IC  516,,Gal,Hydra,16.0,128.9502,-1.8667
Gal_Hya_NGC 2618,NGC 2618,,Gal,Hydra,14.0,129.0502,0.7
Gal_Hya_IC  517,IC  517,,Gal,Hydra,15.0,129.0752,-2.0667
OpC_Hya_IC  518,IC  518,,OpC,Hydra,,129.2752,0.6833
OpC_Pyx_NGC 2627,NGC 2627,,OpC,Pyxis,8.0,129.3252,-29.95
Gal_Cam_NGC 2591,NGC 2591,,Gal,Camelopardalis,13.0,129.3499,78.0334
Gal_Car_NGC 2640,NGC 2640,,Gal,Carina,,129.3502,-55.1167
Gal_Cnc_NGC 2620,NGC 2620,,Gal,Cancer,15.0,129.3752,24.95
Gal_Cnc_NGC 2619,NGC 2619,,Gal,Cancer,13.0,129.4002,28.7167
Gal_Cnc_NGC 2621,NGC 2621,,Gal,Cancer,15.0,129.4252,25.0
Gal_Cnc_NGC 2624,NGC 2624,,Gal,Cancer,14.0,129.5252,19.7334
Gal_Cnc_NGC 2622,NGC 2622,,Gal,Cancer,15.0,129.5752,24.9167
Gal_Cnc_NGC 2623,NGC 2623,,Gal,Cancer,13.8,129.6002,25.75
Gal_Cnc_NGC 2625,NGC 2625,,Gal,Cancer,,129.6002,19.7
OpC_Pyx_NGC 2635,NGC 2635,,OpC,Pyxis,11.2,129.6252,-34.7667
Gal_Cnc_IC 2387,IC 2387,,Gal,Cancer,15.0,129.6502,30.7834
notype_Vel_NGC 2645,NGC 2645,,-,Vela,,129.7252,-46.2167
Gal_Cnc_IC 2388,IC 2388,,Gal,Cancer,16.0,130.0002,19.6334
OpC_Cnc_NGC 2632,NGC 2632,"Beehive cluster, M  44, Praesepe",OpC,Cancer,3.1,130.0252,19.9834
OpC_Vel_IC 2391,IC 2391,,OpC,Vela,2.5,130.0502,-53.0667
Gal_Cnc_NGC 2628,NGC 2628,,Gal,Cancer,14.0,130.1252,23.55
Gal_Hya_IC  519,IC  519,,Gal,Hydra,15.0,130.1502,2.6
Gal_Hya_NGC 2642,NGC 2642,,Gal,Hydra,13.0,130.1752,-4.1167
Gal_Cam_IC  511,IC  511,,Gal,Camelopardalis,,130.2,73.4834
Gal_Cnc_NGC 2637,NGC 2637,,Gal,Cancer,,130.2752,19.7
OpC_Vel_IC 2395,IC 2395,,OpC,Vela,4.6,130.2752,-48.2
Gal_Hya_NGC 2644,NGC 2644,,Gal,Hydra,13.0,130.3752,4.9833
Gal_Cnc_NGC 2643,NGC 2643,,Gal,Cancer,,130.4252,19.7167
Gal_Cnc_IC 2390,IC 2390,,Gal,Cancer,16.0,130.4502,19.7
OpC_Vel_NGC 2660,NGC 2660,,OpC,Vela,8.8,130.5502,-47.15
Gal_Lyn_NGC 2638,NGC 2638,,Gal,Lynx,13.0,130.6002,37.2167
Gal_Cnc_NGC 2647,NGC 2647,,Gal,Cancer,15.0,130.6502,19.6667
OpC_Vel_NGC 2659,NGC 2659,,OpC,Vela,8.6,130.6502,-44.95
Gal_Cnc_NGC 2648,NGC 2648,,Gal,Cancer,13.0,130.6752,14.2834
Gal_UMa_NGC 2614,NGC 2614,,Gal,Ursa Major,14.0,130.7,72.9834
notype_Hya_NGC 2652,NGC 2652,,-,Hydra,,130.8252,-3.6167
OpC_Pyx_NGC 2658,NGC 2658,,OpC,Pyxis,9.0,130.8502,-32.65
Gal_UMa_NGC 2639,NGC 2639,,Gal,Ursa Major,11.8,130.9002,50.2
Gal_Cnc_NGC 2651,NGC 2651,,Gal,Cancer,15.0,131.0002,11.7834
Gal_Lyn_NGC 2649,NGC 2649,,Gal,Lynx,13.0,131.0252,34.7167
Gal_Cnc_IC 2392,IC 2392,,Gal,Cancer,,131.1252,18.2834
OpC_Vel_NGC 2669,NGC 2669,,OpC,Vela,6.1,131.2252,-52.9667
Gal_Pyx_NGC 2663,NGC 2663,,Gal,Pyxis,,131.2752,-33.8
Gal_UMa_NGC 2630,NGC 2630,,Gal,Ursa Major,16.0,131.35,73.0334
Gal_Cnc_NGC 2657,NGC 2657,,Gal,Cancer,14.0,131.3502,9.6667
OpC_Vel_NGC 2670,NGC 2670,,OpC,Vela,7.8,131.3752,-48.7834
Gal_Hya_NGC 2662,NGC 2662,,Gal,Hydra,15.0,131.4252,-15.1333
Gal_Cam_IC  499,IC  499,,Gal,Camelopardalis,14.0,131.4992,85.7167
Gal_Cnc_NGC 2661,NGC 2661,,Gal,Cancer,14.0,131.5002,12.6334
Gal_Hya_NGC 2665,NGC 2665,,Gal,Hydra,13.0,131.5002,-19.2833
OpC_Vel_NGC 2671,NGC 2671,,OpC,Vela,12.0,131.5502,-41.8834
notype_Hya_IC 2403,IC 2403,,-,Hydra,,131.5502,-15.35
Str_Cnc_IC 2396,IC 2396,,Str,Cancer,,131.6752,17.65
notype_Cnc_IC 2397,IC 2397,,-,Cancer,,131.6752,17.6667
Gal_Cnc_IC 2398,IC 2398,,Gal,Cancer,,131.6752,17.75
notype_Hya_IC  521,IC  521,,-,Hydra,,131.7002,2.55
Gal_Cnc_IC 2393,IC 2393,,Gal,Cancer,15.0,131.7002,28.1834
Gal_UMa_NGC 2631,NGC 2631,,Gal,Ursa Major,14.0,131.775,73.0
Gal_Cnc_IC 2394,IC 2394,,Gal,Cancer,15.0,131.7752,28.2667
Gal_UMa_NGC 2629,NGC 2629,,Gal,Ursa Major,13.0,131.8,72.9834
notype_Cnc_NGC 2664,NGC 2664,,-,Cancer,,131.8002,12.6
Gal_UMa_NGC 2656,NGC 2656,,Gal,Ursa Major,13.3,131.9502,53.8667
Gal_Cnc_IC 2399,IC 2399,,Gal,Cancer,,131.9502,18.9
Gal_Cam_IC 2389,IC 2389,,Gal,Camelopardalis,13.4,132.0,73.5334
Gal_Lyn_IC 2400,IC 2400,,Gal,Lynx,15.0,132.0002,38.1
Gal_Cam_NGC 2633,NGC 2633,,Gal,Camelopardalis,11.9,132.025,74.1
Gal_UMa_NGC 2641,NGC 2641,,Gal,Ursa Major,15.0,132.025,72.9
Gal_Lyn_IC 2401,IC 2401,,Gal,Lynx,15.0,132.0252,37.75
Gal_Cnc_IC 2402,IC 2402,,Gal,Cancer,15.0,132.0252,31.8167
Gal_Cnc_IC 2404,IC 2404,,Gal,Cancer,15.0,132.0252,29.5
Gal_Cnc_IC 2406,IC 2406,,Gal,Cancer,,132.0252,17.7
Gal_Cnc_IC 2407,IC 2407,,Gal,Cancer,,132.0252,17.6167
notype_Hya_NGC 2674,NGC 2674,,-,Hydra,,132.0502,-14.2833
Gal_Cnc_NGC 2667,NGC 2667,,Gal,Cancer,15.0,132.0752,19.0167
Str_Cnc_IC 2408,IC 2408,,Str,Cancer,,132.0752,19.0334
Gal_Cam_NGC 2634,NGC 2634,,Gal,Camelopardalis,13.0,132.1,73.9667
Gal_Cam_NGC 2636,NGC 2636,,Gal,Camelopardalis,14.0,132.1,73.6667
Gal_Cnc_IC 2409,IC 2409,,Gal,Cancer,,132.1002,18.3334
Gal_Cnc_IC 2410,IC 2410,,Gal,Cancer,,132.1252,19.0167
Gal_Cnc_IC 2411,IC 2411,,Gal,Cancer,,132.1252,19.05
Gal_Lyn_IC 2405,IC 2405,,Gal,Lynx,15.0,132.1752,37.2334
Gal_UMa_NGC 2654,NGC 2654,,Gal,Ursa Major,11.8,132.3002,60.2167
Gal_Cnc_NGC 2672,NGC 2672,,Gal,Cancer,11.6,132.3252,19.0667
Gal_Lyn_NGC 2668,NGC 2668,,Gal,Lynx,15.0,132.3502,36.6834
Gal_Cnc_NGC 2673,NGC 2673,,Gal,Cancer,12.9,132.3502,19.0667
Str_Cnc_IC 2412,IC 2412,,Str,Cancer,,132.3502,18.55
Str_Cnc_IC 2413,IC 2413,,Str,Cancer,,132.3752,18.75
Gal_Cnc_IC 2414,IC 2414,,Gal,Cancer,,132.4502,18.8
Gal_UMa_NGC 2650,NGC 2650,,Gal,Ursa Major,14.0,132.5001,70.3
notype_UMa_NGC 2666,NGC 2666,,-,Ursa Major,,132.5002,47.05
Gal_Cnc_NGC 2677,NGC 2677,,Gal,Cancer,15.0,132.5002,19.0
Str_Cnc_IC 2415,IC 2415,,Str,Cancer,,132.5002,18.65
notype_Cnc_NGC 2678,NGC 2678,,-,Cancer,,132.5502,11.3334
Gal_Cam_NGC 2646,NGC 2646,,Gal,Camelopardalis,12.0,132.6,73.4667
OpC_Cnc_NGC 2682,NGC 2682,M  67,OpC,Cancer,6.9,132.6002,11.8167
Str_Cnc_IC 2416,IC 2416,,Str,Cancer,,132.6252,18.5667
Gal_Cnc_IC 2417,IC 2417,,Gal,Cancer,,132.8002,18.8
Gal_Cnc_IC 2418,IC 2418,,Gal,Cancer,,132.8502,17.95
Gal_UMa_NGC 2676,NGC 2676,,Gal,Ursa Major,14.0,132.8752,47.55
Gal_Cnc_NGC 2679,NGC 2679,,Gal,Cancer,14.0,132.8752,30.8667
Gal_Cnc_NGC 2680,NGC 2680,,Gal,Cancer,14.0,132.8752,30.8667
Gal_Hya_IC 2420,IC 2420,,Gal,Hydra,15.0,132.8752,3.0833
Gal_UMa_NGC 2675,NGC 2675,,Gal,Ursa Major,14.0,132.9752,53.6
Str_Cnc_IC 2419,IC 2419,,Str,Cancer,,133.0502,18.1
Gal_Lyn_NGC 2683,NGC 2683,,Gal,Lynx,9.7,133.1752,33.4167
Gal_Hya_NGC 2690,NGC 2690,,Gal,Hydra,14.0,133.1752,-2.6167
Gal_Cnc_IC  523,IC  523,,Gal,Cancer,15.0,133.3002,9.15
Gal_UMa_NGC 2681,NGC 2681,,Gal,Ursa Major,10.3,133.3752,51.3167
Gal_Car_NGC 2714,NGC 2714,,Gal,Carina,,133.3752,-59.2167
Gal_Cam_IC  520,IC  520,,Gal,Camelopardalis,13.0,133.425,73.4834
notype_Hya_NGC 2696,NGC 2696,,-,Hydra,,133.6002,-4.9833
Gal_Cnc_IC 2421,IC 2421,,Gal,Cancer,,133.6002,32.6834
Gal_Cnc_IC 2422,IC 2422,,Gal,Cancer,16.0,133.6002,20.2334
Gal_Hya_NGC 2695,NGC 2695,,Gal,Hydra,13.0,133.6252,-3.0833
Gal_UMa_IC  522,IC  522,,Gal,Ursa Major,14.0,133.6252,57.1667
Gal_UMa_NGC 2684,NGC 2684,,Gal,Ursa Major,13.0,133.7002,49.1334
Gal_Lyn_NGC 2691,NGC 2691,,Gal,Lynx,14.0,133.7002,39.5334
Gal_Cnc_IC 2423,IC 2423,,Gal,Cancer,15.0,133.7002,20.2334
Gal_UMa_NGC 2686,NGC 2686,,Gal,Ursa Major,16.0,133.7252,49.1334
Gal_UMa_NGC 2687,NGC 2687,,Gal,Ursa Major,17.0,133.7502,49.15
Gal_Hya_NGC 2697,NGC 2697,,Gal,Hydra,13.0,133.7752,-3.0
Gal_UMa_NGC 2689,NGC 2689,,Gal,Ursa Major,,133.8002,49.15
Gal_UMa_NGC 2688,NGC 2688,,Gal,Ursa Major,16.0,133.8252,49.1
Ast_Cam_NGC 2653,NGC 2653,,Ast,Camelopardalis,,133.8999,78.4167
Gal_Cam_NGC 2655,NGC 2655,,Gal,Camelopardalis,10.1,133.8999,78.2167
Gal_UMa_NGC 2685,NGC 2685,Helix galaxy,Gal,Ursa Major,11.1,133.9002,58.7334
Gal_Hya_NGC 2698,NGC 2698,,Gal,Hydra,13.0,133.9002,-3.1833
notype_Hya_NGC 2700,NGC 2700,,-,Hydra,,133.9252,-5.1
Str_Hya_IC 2425,IC 2425,,Str,Hydra,,133.9502,-3.4
Gal_Hya_NGC 2699,NGC 2699,,Gal,Hydra,13.0,133.9752,-3.15
Str_Hya_NGC 2702,NGC 2702,,Str,Hydra,,133.9752,-3.05
Str_Hya_NGC 2703,NGC 2703,,Str,Hydra,,133.9752,-3.2833
Str_Hya_NGC 2705,NGC 2705,,Str,Hydra,,134.0002,-3.0
Gal_Hya_NGC 2708,NGC 2708,,Gal,Hydra,14.0,134.0252,-3.3667
Str_Hya_NGC 2707,NGC 2707,,Str,Hydra,,134.0502,-3.0667
Gal_Hya_NGC 2706,NGC 2706,,Gal,Hydra,14.0,134.0752,-2.5833
Gal_Hya_NGC 2709,NGC 2709,,Gal,Hydra,15.0,134.0752,-3.2667
notype_Lyn_IC 2424,IC 2424,,-,Lynx,,134.2002,39.3834
Gal_Lyn_NGC 2704,NGC 2704,,Gal,Lynx,14.0,134.2252,39.3667
Gal_UMa_NGC 2692,NGC 2692,,Gal,Ursa Major,14.0,134.2502,52.0667
Gal_UMa_NGC 2693,NGC 2693,,Gal,Ursa Major,11.7,134.2502,51.35
Gal_UMa_NGC 2694,NGC 2694,,Gal,Ursa Major,14.3,134.2502,51.3334
Gal_Pyx_NGC 2717,NGC 2717,,Gal,Pyxis,14.0,134.2502,-24.6667
Gal_Cnc_NGC 2711,NGC 2711,,Gal,Cancer,14.0,134.3252,17.2834
Gal_Hya_NGC 2713,NGC 2713,,Gal,Hydra,11.7,134.3252,2.9167
Gal_Hya_NGC 2716,NGC 2716,,Gal,Hydra,12.4,134.4002,3.0833
notype_Hya_IC  524,IC  524,,-,Hydra,,134.5502,-19.1833
Gal_Hya_IC 2426,IC 2426,,Gal,Hydra,15.0,134.6252,2.9
Gal_Hya_NGC 2722,NGC 2722,,Gal,Hydra,,134.7002,-3.7167
Gal_Hya_NGC 2718,NGC 2718,,Gal,Hydra,13.0,134.7252,6.3
Gal_Hya_NGC 2721,NGC 2721,,Gal,Hydra,13.0,134.7252,-4.7667
Gal_UMa_NGC 2701,NGC 2701,,Gal,Ursa Major,12.4,134.7752,53.7667
Gal_Cnc_NGC 2720,NGC 2720,,Gal,Cancer,14.0,134.8002,11.1667
Gal_Lyn_NGC 2712,NGC 2712,,Gal,Lynx,12.0,134.8752,44.9167
Gal_UMa_NGC 2710,NGC 2710,,Gal,Ursa Major,14.0,134.9502,55.6834
Gal_Hya_NGC 2723,NGC 2723,,Gal,Hydra,15.0,135.0502,3.1833
Gal_Lyn_NGC 2719,NGC 2719,,Gal,Lynx,14.0,135.0752,35.7334
Gal_Vel_NGC 2736,NGC 2736,,Gal,Vela,,135.1002,-45.9
Gal_Lyn_NGC 2724,NGC 2724,,Gal,Lynx,15.0,135.2502,35.7667
Gal_Lyn_IC 2427,IC 2427,,Gal,Lynx,16.0,135.2502,37.8667
Gal_Cnc_NGC 2725,NGC 2725,,Gal,Cancer,14.0,135.2752,11.0834
notype_Hya_NGC 2727,NGC 2727,,-,Hydra,,135.2752,-3.3833
Gal_Hya_IC  525,IC  525,,Gal,Hydra,15.0,135.3252,-1.8667
Gal_Hya_NGC 2729,NGC 2729,,Gal,Hydra,14.0,135.3752,3.7167
Gal_Cnc_NGC 2728,NGC 2728,,Gal,Cancer,15.0,135.4502,11.0667
Gal_Cnc_NGC 2731,NGC 2731,,Gal,Cancer,14.0,135.5252,8.3
notype_Hya_NGC 2733,NGC 2733,,-,Hydra,,135.5252,-3.7333
Gal_Cnc_NGC 2730,NGC 2730,,Gal,Cancer,13.0,135.5752,16.8334
Gal_Cnc_NGC 2735,NGC 2735,,Gal,Cancer,14.0,135.6502,25.9334
Gal_Cnc_IC  526,IC  526,,Gal,Cancer,15.0,135.6502,10.8334
Gal_Cnc_NGC 2734,NGC 2734,,Gal,Cancer,,135.7502,16.8334
Gal_Cnc_IC 2428,IC 2428,,Gal,Cancer,15.0,135.8002,30.5834
Gal_Cnc_IC 2429,IC 2429,,Gal,Cancer,15.0,135.9502,29.3
Gal_Cnc_NGC 2737,NGC 2737,,Gal,Cancer,15.0,135.9752,21.9
Gal_Cnc_NGC 2738,NGC 2738,,Gal,Cancer,14.0,135.9752,21.9667
Gal_Cam_IC  512,IC  512,,Gal,Camelopardalis,12.0,135.9993,85.5001
notype_Cnc_NGC 2741,NGC 2741,,-,Cancer,,136.0752,18.2667
Gal_Cnc_IC 2430,IC 2430,,Gal,Cancer,14.0,136.1252,27.95
Gal_Cnc_IC 2431,IC 2431,,Gal,Cancer,14.0,136.1252,14.6
Gal_Cnc_NGC 2745,NGC 2745,,Gal,Cancer,15.0,136.1502,18.25
Gal_Hya_IC 2432,IC 2432,,Gal,Hydra,15.0,136.1502,5.5167
Gal_Cnc_NGC 2744,NGC 2744,,Gal,Cancer,13.4,136.1752,18.4667
Gal_UMa_NGC 2726,NGC 2726,,Gal,Ursa Major,13.0,136.2252,59.9334
Gal_Cnc_NGC 2743,NGC 2743,,Gal,Cancer,14.0,136.2502,25.0
Gal_Hya_NGC 2754,NGC 2754,,Gal,Hydra,,136.2502,-19.0833
Gal_Cnc_NGC 2747,NGC 2747,,Gal,Cancer,15.0,136.3252,18.4334
Gal_Cnc_NGC 2749,NGC 2749,,Gal,Cancer,12.0,136.3502,18.3167
Gal_Hya_NGC 2758,NGC 2758,,Gal,Hydra,14.0,136.3502,-19.05
Str_Hya_IC 2436,IC 2436,,Str,Hydra,,136.3502,-19.1667
Gal_Cnc_NGC 2751,NGC 2751,,Gal,Cancer,15.0,136.3752,18.25
Str_Hya_NGC 2757,NGC 2757,,Str,Hydra,,136.3752,-19.0333
Gal_Cnc_IC 2433,IC 2433,,Gal,Cancer,15.0,136.3752,22.6167
Gal_Hya_IC 2437,IC 2437,,Gal,Hydra,,136.3752,-19.2
Gal_Cnc_NGC 2750,NGC 2750,,Gal,Cancer,12.0,136.4252,25.4334
Gal_Cnc_NGC 2752,NGC 2752,,Gal,Cancer,15.0,136.4252,18.3334
Gal_UMa_NGC 2739,NGC 2739,,Gal,Ursa Major,15.0,136.5002,51.75
Gal_Lyn_NGC 2746,NGC 2746,,Gal,Lynx,14.0,136.5002,35.3667
Gal_UMa_NGC 2740,NGC 2740,,Gal,Ursa Major,15.0,136.5252,51.7334
Gal_Hya_NGC 2763,NGC 2763,,Gal,Hydra,12.1,136.7002,-15.5
Gal_Cnc_IC 2435,IC 2435,,Gal,Cancer,15.0,136.7002,26.2667
PN_Car_IC 2448,IC 2448,,PN,Carina,12.0,136.7751,-69.95
Gal_Cnc_NGC 2753,NGC 2753,,Gal,Cancer,15.0,136.8002,25.3334
Gal_Lyn_IC 2434,IC 2434,,Gal,Lynx,14.0,136.8002,37.2
Gal_Cnc_NGC 2761,NGC 2761,,Gal,Cancer,15.0,136.8752,18.4334
Gal_UMa_NGC 2742,NGC 2742,,Gal,Ursa Major,11.7,136.9002,60.4834
Gal_Hya_NGC 2765,NGC 2765,,Gal,Hydra,13.0,136.9002,3.3833
Gal_Pyx_NGC 2772,NGC 2772,,Gal,Pyxis,15.0,136.9252,-23.6167
Gal_Lyn_NGC 2755,NGC 2755,,Gal,Lynx,14.0,136.9752,41.7167
Gal_Cam_NGC 2715,NGC 2715,,Gal,Camelopardalis,11.4,137.0249,78.0834
Gal_Cnc_NGC 2764,NGC 2764,,Gal,Cancer,12.7,137.0752,21.45
Gal_Lyn_NGC 2759,NGC 2759,,Gal,Lynx,14.0,137.1502,37.6167
Gal_Cnc_IC 2439,IC 2439,,Gal,Cancer,15.0,137.1502,32.5834
Gal_Cnc_NGC 2766,NGC 2766,,Gal,Cancer,14.0,137.2002,29.8667
Gal_UMa_NGC 2756,NGC 2756,,Gal,Ursa Major,13.0,137.2502,53.85
Gal_Car_NGC 2788,NGC 2788,,Gal,Carina,,137.2501,-67.9334
Gal_Cnc_IC  528,IC  528,,Gal,Cancer,15.0,137.3502,15.8
Gal_Lyn_NGC 2770,NGC 2770,,Gal,Lynx,12.0,137.4002,33.1167
Gal_Cnc_NGC 2773,NGC 2773,,Gal,Cancer,14.0,137.4002,7.1833
Gal_Lyn_IC  527,IC  527,,Gal,Lynx,15.0,137.4002,37.5834
Gal_UMa_NGC 2762,NGC 2762,,Gal,Ursa Major,15.0,137.4502,50.4334
notype_Cnc_IC 2441,IC 2441,,-,Cancer,,137.5002,22.8667
Gal_UMa_NGC 2767,NGC 2767,,Gal,Ursa Major,14.0,137.5252,50.4167
notype_Cnc_IC 2442,IC 2442,,-,Cancer,,137.5252,22.85
Gal_Cnc_NGC 2775,NGC 2775,,Gal,Cancer,10.3,137.5752,7.0333
Gal_UMa_NGC 2769,NGC 2769,,Gal,Ursa Major,14.0,137.6002,50.45
Gal_UMa_NGC 2771,NGC 2771,,Gal,Ursa Major,14.0,137.6252,50.4
Gal_Cnc_NGC 2774,NGC 2774,,Gal,Cancer,15.0,137.6502,18.7
Gal_Cnc_NGC 2777,NGC 2777,,Gal,Cancer,14.0,137.6752,7.2
Gal_Hya_NGC 2781,NGC 2781,,Gal,Hydra,11.5,137.8752,-14.8167
Gal_Cnc_IC 2443,IC 2443,,Gal,Cancer,15.0,137.8752,28.8167
Gal_UMa_NGC 2768,NGC 2768,,Gal,Ursa Major,10.0,137.9002,60.0334
GlC_Car_NGC 2808,NGC 2808,,GlC,Carina,6.3,138.0001,-64.8667
Gal_Lyn_NGC 2776,NGC 2776,,Gal,Lynx,11.6,138.0502,44.95
Gal_Lyn_NGC 2778,NGC 2778,,Gal,Lynx,13.0,138.0752,35.0167
Gal_Lyn_NGC 2779,NGC 2779,,Gal,Lynx,15.0,138.0752,35.05
Gal_Hya_NGC 2784,NGC 2784,,Gal,Hydra,10.1,138.0752,-24.1667
PN_Vel_NGC 2792,NGC 2792,,PN,Vela,14.0,138.1002,-42.4334
Gal_Lyn_NGC 2780,NGC 2780,,Gal,Lynx,14.0,138.1752,34.9167
Gal_Cnc_IC 2444,IC 2444,,Gal,Cancer,15.0,138.2002,30.2334
Gal_Cnc_IC 2445,IC 2445,,Gal,Cancer,15.0,138.3002,31.8
Gal_Cam_NGC 2732,NGC 2732,,Gal,Camelopardalis,11.9,138.3499,79.1834
Gal_Cnc_IC 2446,IC 2446,,Gal,Cancer,15.0,138.3752,28.9667
notype_Cnc_IC 2447,IC 2447,,-,Cancer,,138.3752,28.75
Gal_Cnc_NGC 2783,NGC 2783,,Gal,Cancer,14.0,138.4002,29.9834
Gal_Cam_NGC 2748,NGC 2748,,Gal,Camelopardalis,11.7,138.425,76.4834
Gal_Car_NGC 2836,NGC 2836,,Gal,Carina,,138.4251,-69.3334
notype_Cnc_NGC 2786,NGC 2786,,-,Cancer,,138.5002,12.15
Gal_Car_NGC 2822,NGC 2822,,Gal,Carina,12.0,138.5001,-69.6334
OpC_Cam_IC 2438,IC 2438,,OpC,Camelopardalis,,138.5001,73.4334
Gal_Lyn_NGC 2782,NGC 2782,,Gal,Lynx,11.5,138.5252,40.1167
Gal_Cnc_NGC 2789,NGC 2789,,Gal,Cancer,14.0,138.7502,29.7334
Gal_Cnc_NGC 2790,NGC 2790,,Gal,Cancer,14.0,138.7502,19.7167
Gal_Cnc_NGC 2791,NGC 2791,,Gal,Cancer,15.0,138.7502,17.6
Gal_Lyn_NGC 2785,NGC 2785,,Gal,Lynx,15.0,138.8002,40.9167
notype_Cnc_IC 2449,IC 2449,,-,Cancer,,138.8002,30.0
Gal_Cnc_IC  530,IC  530,,Gal,Cancer,14.0,138.8252,11.8834
notype_Cam_IC 2440,IC 2440,,-,Camelopardalis,,138.8751,73.4667
Gal_Car_NGC 2842,NGC 2842,,Gal,Carina,,138.9002,-63.0667
notype_Cam_NGC 2760,NGC 2760,,-,Camelopardalis,,138.925,76.3834
notype_Cnc_IC 2450,IC 2450,,-,Cancer,,138.9252,25.45
Gal_Cnc_IC 2451,IC 2451,,Gal,Cancer,16.0,138.9252,23.4834
Gal_Cnc_IC 2453,IC 2453,,Gal,Cancer,15.0,138.9502,20.9334
Gal_Cnc_IC 2452,IC 2452,,Gal,Cancer,16.0,138.9752,23.45
Gal_Cnc_NGC 2794,NGC 2794,,Gal,Cancer,14.0,139.0002,17.6
OpC_Pyx_NGC 2818,NGC 2818,,OpC,Pyxis,8.2,139.0002,-36.6167
Gal_Cnc_IC 2454,IC 2454,,Gal,Cancer,14.0,139.0002,17.8167
Gal_Cnc_NGC 2795,NGC 2795,,Gal,Cancer,14.0,139.0252,17.6334
Gal_Hya_NGC 2811,NGC 2811,,Gal,Hydra,11.3,139.0502,-16.3167
Gal_Hya_NGC 2815,NGC 2815,,Gal,Hydra,13.0,139.0752,-23.6333
Gal_Cnc_NGC 2797,NGC 2797,,Gal,Cancer,14.0,139.1002,17.7334
Gal_Cnc_NGC 2796,NGC 2796,,Gal,Cancer,14.0,139.1752,30.9167
Gal_Cnc_NGC 2801,NGC 2801,,Gal,Cancer,15.0,139.1752,19.9334
Gal_Cnc_NGC 2802,NGC 2802,,Gal,Cancer,14.0,139.1752,18.9667
Gal_Cnc_NGC 2803,NGC 2803,,Gal,Cancer,14.0,139.1752,18.9667
Gal_Lyn_NGC 2793,NGC 2793,,Gal,Lynx,14.0,139.2002,34.4334
Gal_Cnc_NGC 2804,NGC 2804,,Gal,Cancer,14.0,139.2002,20.2
