RAJ2000,DEJ2000,Constellation
342.853461,-0.3377719,Aquarius
342.857208,-1.3377649,Aquarius
342.860956,-2.3377581,Aquarius
342.864704,-3.3377509,Aquarius
343.864002,-3.3341103,Aquarius
344.863158,-3.3306730,Aquarius
345.862455,-3.3274388,Aquarius
346.861754,-3.3244095,Aquarius
347.860879,-3.3215861,Aquarius
348.860149,-3.3189690,Aquarius
349.859476,-3.3165591,Aquarius
350.858574,-3.3143575,Aquarius
351.857872,-3.3123643,Aquarius
352.857141,-3.3105805,Aquarius
353.856297,-3.3090067,Aquarius
354.855566,-3.3076429,Aquarius
355.854836,-3.3064899,Aquarius
356.853961,-3.3055482,Aquarius
357.853231,-3.3048177,Aquarius
358.852501,-3.3042989,Aquarius
359.102211,-3.3042023,Aquarius
359.102583,-4.3042021,Aquarius
359.102926,-5.3042026,Aquarius
359.103299,-6.3042021,Aquarius
359.103671,-7.3042021,Aquarius
359.104042,-8.3042021,Aquarius
359.104414,-9.3042011,Aquarius
359.104786,-10.3042021,Aquarius
359.105159,-11.3042021,Aquarius
359.105531,-12.3042011,Aquarius
359.105901,-13.3042021,Aquarius
359.106273,-14.3042021,Aquarius
359.106674,-15.3042011,Aquarius
359.107074,-16.3042011,Aquarius
359.107446,-17.3042011,Aquarius
359.107846,-18.3042011,Aquarius
359.108249,-19.3042011,Aquarius
359.108649,-20.3042011,Aquarius
359.109078,-21.3042011,Aquarius
359.109479,-22.3042011,Aquarius
359.109907,-23.3042011,Aquarius
359.110336,-24.3042011,Aquarius
359.110564,-24.8042011,Sculptor
358.116360,-24.8046646,Sculptor
357.121983,-24.8053398,Sculptor
356.127606,-24.8062248,Sculptor
355.133371,-24.8073196,Sculptor
354.138994,-24.8086243,Sculptor
353.144589,-24.8101368,Sculptor
352.150297,-24.8118610,Sculptor
351.155864,-24.8137913,Sculptor
350.161428,-24.8159313,Sculptor
349.167136,-24.8182774,Sculptor
348.172646,-24.8208313,Sculptor
347.178126,-24.8235893,Sculptor
346.680966,-24.8250446,Pisces Austrinus
345.686388,-24.8281116,Pisces Austrinus
344.692011,-24.8313808,Pisces Austrinus
343.697404,-24.8348522,Pisces Austrinus
342.702799,-24.8385258,Pisces Austrinus
341.708279,-24.8423996,Pisces Austrinus
340.713615,-24.8464737,Pisces Austrinus
339.718894,-24.8507462,Pisces Austrinus
338.724318,-24.8552132,Pisces Austrinus
337.729541,-24.8598766,Pisces Austrinus
336.734733,-24.8647346,Pisces Austrinus
335.740012,-24.8697853,Pisces Austrinus
334.745121,-24.8750267,Pisces Austrinus
333.750201,-24.8804569,Pisces Austrinus
332.755336,-24.8860760,Pisces Austrinus
331.760329,-24.8918800,Pisces Austrinus
330.765239,-24.8978710,Pisces Austrinus
329.770289,-24.9040413,Pisces Austrinus
329.762707,-23.9040642,Capricornus
329.755239,-22.9040890,Capricornus
329.747857,-21.9041119,Capricornus
329.740620,-20.9041328,Capricornus
329.733438,-19.9041576,Capricornus
329.726371,-18.9041786,Capricornus
329.719391,-17.9041996,Capricornus
329.712466,-16.9042225,Capricornus
329.705629,-15.9042444,Capricornus
329.698848,-14.9042645,Capricornus
329.692154,-13.9042864,Capricornus
329.685487,-12.9043083,Capricornus
329.678907,-11.9043283,Capricornus
329.672355,-10.9043484,Capricornus
329.665833,-9.9043694,Capricornus
329.659366,-8.9043894,Capricornus
329.656162,-8.4043999,Capricornus
328.657722,-8.4107742,Capricornus
327.659254,-8.4173279,Capricornus
326.660899,-8.4240570,Capricornus
325.662404,-8.4309626,Capricornus
324.663906,-8.4380417,Capricornus
323.665552,-8.4452906,Capricornus
322.666998,-8.4527092,Capricornus
321.668415,-8.4602947,Aquarius
321.676311,-9.4602642,Aquarius
321.684209,-10.4602337,Aquarius
321.692190,-11.4602032,Aquarius
321.700201,-12.4601717,Aquarius
321.708297,-13.4601412,Aquarius
321.716451,-14.4601107,Capricornus
320.719012,-14.4678507,Capricornus
319.721431,-14.4757547,Capricornus
318.723794,-14.4838171,Capricornus
317.726269,-14.4920359,Capricornus
316.728573,-14.5004101,Capricornus
315.730848,-14.5089369,Capricornus
314.733239,-14.5176105,Capricornus
313.735399,-14.5264339,Capricornus
312.737561,-14.5354004,Capricornus
311.739807,-14.5445070,Capricornus
310.741882,-14.5537539,Capricornus
309.743901,-14.5631361,Capricornus
309.743901,-14.5631361,Capricornus
309.733859,-13.5631838,Capricornus
309.723873,-12.5632305,Capricornus
309.713974,-11.5632782,Capricornus
309.704131,-10.5633240,Capricornus
309.694376,-9.5633707,Capricornus
309.684648,-8.5634165,Capricornus
280.386171,-2.8842952,Serpens
280.374154,-1.8843669,Serpens
280.362168,-0.8844388,Serpens
280.350209,0.1154895,Serpens
280.338221,1.1154177,Serpens
280.326232,2.1153460,Serpens
281.326275,2.1273098,Aquila
282.326374,2.1392353,Aquila
283.326273,2.1511161,Aquila
284.326344,2.1629529,Aquila
284.576426,2.1659052,Aquila
284.564610,3.1658356,Serpens
