Internal ID Number,ID (for resolver),MAIN_ID,Common Name,TYPE,Constellation,RAJ2000,DEJ2000,V,B-V
GlC_Sgr_M55,M 55,M  55,,GlC,Sagittarius,294.99879000,-30.96475000,6.489999771118164,
GlC_Lyr_M56,M 56,M  56,,GlC,Lyra,289.14821000,30.18347000,,
PN_Lyr_M57,M 57,M  57,Ring Nebula,PN,Lyra,283.39623732,33.02913421,15.769000053405762,-0.3640003204345703
SyG_Vir_M58,M 58,M  58,,SyG,Virgo,189.43165400,11.81808900,9.65999984741211,0.8199996948242188
GiG_Vir_M59,M 59,M  59,,GiG,Virgo,190.50967500,11.64693100,,
GiP_Vir_M60,M 60,M  60,,GiP,Virgo,190.91670000,11.55261100,,
Sy2_Vir_M61,M 61,M  61,,Sy2,Virgo,185.47886465,4.47377454,9.649999618530273,0.5300006866455078
GlC_Oph_M62,M 62,M  62,,GlC,Ophiucus,255.30250000,-30.11236000,7.389999866485596,1.1600003242492676
LIN_CVn_M63,M 63,M  63,Sunflower Galaxy,LIN,Canes Venatici,198.95530772,42.02936836,8.59000015258789,0.75
SyG_Com_M64,M 64,M  64,Black Eye Galaxy,SyG,Coma Berenices,194.18206700,21.68265800,8.520000457763672,0.8399991989135742
GiP_Leo_M65,M 65,M  65,Leo Triplet,GiP,Leo,169.73315400,13.09221100,,
GiP_Leo_M66,M 66,M  66,Leo Triplet,GiP,Leo,170.06260800,12.99128900,8.920000076293945,0.7299995422363281
OpC_Cnc_M67,M 67,NGC  2682,,OpC,Cancer,132.82500000,11.80000000,,
GlC_Hya_M68,M 68,M  68,,GlC,Hydra,189.86658000,-26.74406000,7.960000038146973,2.3000001907348633
GlC_Sgr_M69,M 69,M  69,,GlC,Sagittarius,277.84625000,-32.34808000,8.3100004196167,1.0099992752075195
GlC_Sgr_M70,M 70,M  70,,GlC,Sagittarius,280.80317000,-32.29211000,9.0600004196167,0.6999998092651367
GlC_Sge_M71,M 71,M  71,,GlC,Sagitta,298.44371000,18.77919000,6.099999904632568,1.809999942779541
GlC_Aqr_M72,M 72,M  72,,GlC,Aquarius,313.36542000,-12.53731000,8.960000038146973,0.9899997711181641
Cl*_Aqr_M73,M 73,M  73,,Cl*,Aquarius,314.75000000,-12.63000000,8.899999618530273,
G_Psc_M74,M 74,M  74,Phantom Galaxy[91],G,Pisces,24.17405000,15.78346100,9.460000038146973,0.5399999618530273
GlC_Sgr_M75,M 75,M  75,,GlC,Sagittarius,301.52017100,-21.92226100,8.260000228881836,
PN_Per_M76,M 76,M  76,Little Dumbbell Nebula,PN,Perseus,25.58191863,51.57543143,17.479999542236328,
GiP_Cet_M77,M 77,M  77,Cetus A,GiP,Cetus,40.66987900,-0.01328900,8.869999885559082,0.7399997711181641
RNe_Ori_M78,M 78,M  78,,RNe,Orion,86.69080000,0.07920000,,
GlC_Lep_M79,M 79,M  79,,GlC,Lepus,81.04413000,-24.52425000,8.15999984741211,1.0500001907348633
GlC_Sco_M80,M 80,M  80,,GlC,Scorpius,244.26004000,-22.97608000,,
Sy2_UMa_M81,M 81,M  81,Bode's Galaxy,Sy2,Ursa Major,148.88822109,69.06529470,6.940000057220459,0.9499998092651367
IG_UMa_M82,M 82,M  82,Cigar Galaxy,IG,Ursa Major,148.96845800,69.67970300,8.40999984741211,0.8900003433227539
SBG_Hya_M83,M 83,M  83,Southern Pinwheel Galaxy,SBG,Hydra,204.25382900,-29.86576100,7.519999980926514,0.5899996757507324
Sy2_Vir_M84,M 84,M  84,,Sy2,Virgo,186.26559721,12.88698314,10.489999771118164,1.6000003814697266
GiP_Com_M85,M 85,M  85,,GiP,Coma Berenices,186.35022100,18.19108100,,
GiG_Vir_M86,M 86,M  86,,GiG,Virgo,186.54922500,12.94596900,8.899999618530273,0.9300003051757812
BiC_Vir_M87,M 87,M  87,Virgo A,BiC,Virgo,187.70593076,12.39112329,8.630000114440918,0.9600000381469727
Sy2_Com_M88,M 88,M  88,,Sy2,Coma Berenices,187.99673300,14.42041100,13.180000305175781,1.1499996185302734
LIN_Vir_M89,M 89,M  89,,LIN,Virgo,188.91590000,12.55630000,9.75,0.9799995422363281
Sy2_Vir_M90,M 90,M  90,,Sy2,Virgo,189.20756700,13.16286900,9.539999961853027,0.7200002670288086
LIN_Com_M91,M 91,M  91,,LIN,Coma Berenices,188.86012500,14.49631900,13.569999694824219,1.0600004196166992
GlC_Her_M92,M 92,M  92,,GlC,Hercules,259.28079000,43.13594000,6.519999980926514,
OpC_Pup_M93,M 93,NGC  2447,,OpC,Puppis,116.12500000,-23.85700000,,
SyG_CVn_M94,M 94,M  94,Croc's Eye or Cat's Eye,SyG,Canes Venatici,192.72145000,41.12015300,8.239999771118164,0.7200002670288086
GiP_Leo_M95,M 95,M  95,,GiP,Leo,160.99055400,11.70361100,9.729999542236328,0.7800006866455078
GiP_Leo_M96,M 96,M  96,,GiP,Leo,161.69060000,11.81993900,9.25,0.8999996185302734
PN_UMa_M97,M 97,M  97,Owl Nebula,PN,Ursa Major,168.69880209,55.01902370,15.777000427246094,-0.36300086975097656
LIN_Com_M98,M 98,M  98,,LIN,Coma Berenices,183.45121700,14.90046900,10.140000343322754,0.8099994659423828
H2G_Com_M99,M 99,M  99,,H2G,Coma Berenices,184.70677100,14.41648900,9.869999885559082,0.5699996948242188
AGN_Com_M100,M 100,M 100,,AGN,Coma Berenices,185.72888285,15.82230397,9.350000381469727,0.6999998092651367
GiP_UMa_M101,M 101,M 101,Pinwheel Galaxy,GiP,Ursa Major,210.80242900,54.34875000,7.860000133514404,0.5999999046325684
SyG_Dra_M102,M 102,M 102,Spindle Galaxy,SyG,Draco,226.62317100,55.76330800,9.890000343322754,0.8499994277954102
OpC_Cas_M103,M 103,M 103,,OpC,Cassiopeia,23.34600000,60.65000000,7.400000095367432,0.31999969482421875
LIN_Vir_M104,M 104,M 104,Sombrero Galaxy,LIN,Virgo,189.99763271,-11.62305428,8.0,1.5500001907348633
LIN_Leo_M105,M 105,M 105,,LIN,Leo,161.95666700,12.58163100,9.760000228881836,0.8000001907348633
Sy2_CVn_M106,M 106,M 106,,Sy2,Canes Venatici,184.74008300,47.30371900,8.40999984741211,0.7300004959106445
GlC_Oph_M107,M 107,M 107,,GlC,Ophiucus,248.13275000,-13.05378000,8.850000381469727,1.109999656677246
SBG_UMa_M108,M 108,M 108,,SBG,Ursa Major,167.87902900,55.67412200,,
GiG_UMa_M109,M 109,M 109,,GiG,Ursa Major,179.39993300,53.37451900,,
GiG_And_M110,M 110,M 110,,GiG,Andromeda,10.09189356,41.68541564,8.069999694824219,0.8500003814697266
