HD,HIP,Vmag,Fl,Cst,BayerConst
37638,27046,6.17,23,Cam,Cam
37711,26777,4.84,126,Tau,Tau
37742,26727,1.74,50,Ori,zet Ori
37743,0,4.21,50,Ori,zet Ori
37763,25918,5.18,,Men,gam Men
37795,26634,2.65,,Col,alf Col
37984,26885,4.90,51,Ori,b Ori
38090,26865,5.88,12,Lep,Lep
38091,27249,5.93,26,Cam,Cam
38104,27196,5.46,27,Aur,omi Aur
38129,27283,6.79,28,Cam,Cam
38392,0,6.15,13,Lep,gam Lep
38393,27072,3.59,13,Lep,gam Lep
38478,27265,6.00,129,Tau,Tau
38545,27316,5.72,131,Tau,Tau
38558,27338,5.47,130,Tau,Tau
38602,26264,6.04,,Men,iot Men
38618,27592,6.53,29,Cam,Cam
38622,27364,5.28,133,Tau,Tau
38656,27483,4.51,29,Aur,tau Aur
38666,27204,5.18,,Col,mu. Col
38678,27288,3.55,14,Lep,zet Lep
38710,27386,5.26,52,Ori,Ori
38751,27468,4.88,132,Tau,Tau
38771,27366,2.07,53,Ori,kap Ori
38831,27731,6.14,30,Cam,Cam
38899,27511,4.89,134,Tau,Tau
38944,27639,4.72,31,Aur,ups Aur
39003,27673,3.97,32,Aur,nu. Aur
39014,27100,4.34,,Dor,del Dor
39019,27581,5.54,135,Tau,Tau
39060,27321,3.85,,Pic,bet Pic
39091,26394,5.65,,Men,pi. Men
39220,27971,5.20,31,Cam,Cam
39283,27949,4.96,30,Aur,ksi Aur
39291,27658,5.36,55,Ori,Ori
39317,27743,5.60,137,Tau,Tau
39357,27830,4.56,136,Tau,Tau
39364,27654,3.76,15,Lep,del Lep
39400,27750,4.76,56,Ori,Ori
39425,27628,3.12,,Col,bet Col
39523,27530,4.50,,Pic,gam Pic
39587,27913,4.39,54,Ori,chi01 Ori
39698,27965,5.92,57,Ori,Ori
39764,27810,4.88,,Col,lam Col
39780,25776,6.18,31,Men,Men
39801,27989,0.45,58,Ori,alf Ori
39810,27369,6.54,,Men,lam Men
39816,28041,5.40,,Ori,U Ori
39844,27534,5.10,,Dor,eps Dor
40035,28358,3.72,33,Aur,del Aur
40111,28237,4.81,139,Tau,Tau
40136,28103,3.71,16,Lep,eta Lep
40176,28010,4.97,,Col,ksi Col
40183,28360,1.90,34,Aur,bet Aur
40239,28404,4.30,35,Aur,pi. Aur
40248,28098,5.52,,Col,sig Col
40312,28380,2.65,37,Aur,the Aur
40372,28271,5.89,59,Ori,Ori
40394,28499,5.71,36,Aur,Aur
40409,27890,4.65,36,Dor,Dor
40446,28296,5.21,60,Ori,Ori
40494,28199,4.36,,Col,gam Col
40535,28321,6.15,1,Mon,Mon
40536,28325,5.04,2,Mon,Mon
40724,28561,6.36,141,Tau,Tau
40801,28677,6.08,38,Aur,Aur
40808,28328,3.96,,Col,eta Col
40873,28765,6.39,35,Cam,Cam
40932,28614,4.12,61,Ori,mu. Ori
40953,27566,5.46,,Men,kap Men
40967,28574,4.92,3,Mon,Mon
41040,28691,5.14,64,Ori,Ori
41074,28823,5.90,39,Aur,Aur
41116,28734,4.16,1,Gem,Gem
41117,28716,4.64,62,Ori,chi02 Ori
41357,28946,5.35,40,Aur,Aur
41361,28812,5.67,63,Ori,Ori
41380,28814,5.63,66,Ori,Ori
41511,28816,4.92,17,Lep,Lep
41534,28756,5.65,72,Col,Col
41543,28969,6.67,2,Gem,Gem
41597,29246,5.35,37,Cam,Cam
41695,28910,4.67,18,Lep,the Lep
41698,28874,6.74,,Lep,S Lep
41753,29038,4.42,67,Ori,nu. Ori
41927,29490,5.36,36,Cam,Cam
42042,29048,5.28,19,Lep,Lep
42078,28957,6.15,,Col,pi.01 Col
42087,29225,5.75,3,Gem,Gem
42126,29388,6.82,41,Aur,Aur
42127,0,6.09,41,Aur,Aur
42167,29034,5.00,,Col,the Col
42216,29288,6.88,4,Gem,Gem
42303,29064,5.50,,Col,pi.02 Col
42398,29379,5.83,5,Gem,Gem
42509,29433,5.76,68,Ori,Ori
42525,28909,5.72,,Dor,eta01 Dor
42543,29450,6.51,6,Gem,BU Gem
42545,29434,4.95,69,Ori,f01 Ori
42560,29426,4.45,70,Ori,ksi Ori
42633,29730,5.37,40,Cam,Cam
42933,29276,4.72,,Pic,del Pic
42973,29919,5.01,1,Lyn,Lyn
42995,29655,3.31,7,Gem,eta Gem
43039,29696,4.32,44,Aur,kap Aur
43042,29650,5.20,71,Ori,Ori
43107,29134,5.06,,Dor,nu. Dor
43153,29704,5.34,72,Ori,f02 Ori
43232,29651,3.99,5,Mon,gam Mon
43244,29884,6.53,42,Aur,Aur
43247,29736,5.44,73,Ori,Ori
43261,29789,6.09,8,Gem,Gem
43378,30060,4.44,2,Lyn,Lyn
43380,29949,6.33,43,Aur,Aur
43384,29840,6.24,9,Gem,Gem
43386,29800,5.04,74,Ori,k Ori
43455,29353,5.01,,Dor,eta02 Dor
43525,29850,5.39,75,Ori,l Ori
43740,30003,6.58,10,Gem,Gem
43749,30278,7.33,3,Lyn,Lyn
43760,29885,6.76,6,Mon,Mon
43785,29807,4.37,,Col,kap Col
43812,30272,6.05,4,Lyn,Lyn
43818,30046,6.91,11,Gem,Gem
43834,29271,5.08,,Men,alf Men
43836,30049,6.95,12,Gem,Gem
43905,30247,5.34,45,Aur,Aur
44112,30073,5.27,7,Mon,Mon
44402,30122,3.02,1,CMa,zet CMa
44478,30343,2.87,13,Gem,mu. Gem
44537,30520,4.92,46,Aur,psi01 Aur
44639,30326,9.80,,Mon,V Mon
44691,30651,5.53,,Lyn,RR Lyn
44708,30679,5.21,5,Lyn,Lyn
44743,30324,1.98,2,CMa,bet CMa
44762,30277,3.85,,Col,del Col
44769,30419,4.39,8,Mon,eps Mon
44770,30422,6.72,8,Mon,eps Mon
44984,30564,6.30,,Ori,BL Ori
44990,30541,6.26,,Mon,T Mon
45229,30342,5.60,,Pic,nu. Pic
45348,30438,-0.62,,Car,alf Car
45352,30757,6.54,15,Gem,Gem
45394,30769,6.22,16,Gem,Gem
45410,31039,5.86,6,Lyn,Lyn
45412,30827,5.75,48,Aur,RT Aur
45416,30717,5.19,77,Ori,Ori
45418,30700,6.50,9,Mon,Mon
45433,30720,5.55,78,Ori,Ori
45466,30972,5.88,47,Aur,Aur
45542,30883,4.13,18,Gem,nu. Gem
45546,30772,5.06,10,Mon,Mon
45572,30591,5.76,,Pup,G Pup
45669,30321,5.56,,Dor,pi.01 Dor
45725,30867,3.76,11,Mon,bet Mon
45726,0,5.40,11,Mon,bet Mon
45727,0,5.60,11,Mon,bet Mon
45813,30788,4.47,,CMa,lam CMa
46031,31105,6.38,19,Gem,Gem
46052,31173,5.82,,Aur,WW Aur
46101,31359,6.45,7,Lyn,Lyn
46116,30565,5.37,,Dor,pi.02 Dor
46136,31158,6.26,20,Gem,Gem
46241,31159,5.88,12,Mon,Mon
46300,31216,4.47,13,Mon,Mon
46328,31125,4.34,4,CMa,ksi01 CMa
46355,30932,5.20,61,Pic,Pic
46480,31676,5.94,8,Lyn,Lyn
46553,31434,5.26,49,Aur,Aur
46590,31665,5.87,11,Lyn,Lyn
46642,31385,6.44,14,Mon,Mon
46687,31579,5.40,,Aur,UU Aur
46781,31525,6.73,23,Gem,Gem
46860,31137,5.69,,Pic,mu. Pic
46933,31416,4.54,5,CMa,ksi02 CMa
47070,31771,5.70,51,Aur,Aur
47100,31789,5.34,52,Aur,psi03 Aur
47105,31681,1.93,24,Gem,gam Gem
47138,31564,5.71,6,CMa,nu.01 CMa
47152,31737,5.76,53,Aur,Aur
47174,31832,4.80,50,Aur,psi02 Aur
47205,31592,3.95,7,CMa,nu.02 CMa
47306,31407,4.35,,Car,N Car
47395,31852,6.02,54,Aur,Aur
47442,31700,4.42,8,CMa,nu.03 CMa
47670,31685,3.17,,Pup,nu. Pup
47731,32019,6.45,25,Gem,Gem
47839,31978,4.66,15,Mon,S Mon
47914,32173,5.04,55,Aur,psi04 Aur
47973,31765,5.05,,Pup,Y Pup
48097,32104,5.20,26,Gem,Gem
48250,32438,4.86,12,Lyn,Lyn
48329,32246,3.06,27,Gem,eps Gem
48432,32489,5.34,13,Lyn,Lyn
48433,32249,4.49,30,Gem,Gem
48450,32311,5.42,28,Gem,Gem
48682,32480,5.24,56,Aur,psi05 Aur
48737,32362,3.35,31,Gem,ksi Gem
48781,32562,5.22,57,Aur,psi06 Aur
48843,32404,6.47,32,Gem,Gem
48879,32864,5.14,42,Cam,Cam
48915,32349,-1.44,9,CMa,alf CMa
48917,32292,5.23,10,CMa,CMa
48977,32463,5.92,16,Mon,Mon
49161,32533,4.77,17,Mon,Mon
49229,32492,5.28,11,CMa,CMa
49293,32578,4.48,18,Mon,Mon
49333,32504,6.07,12,CMa,CMa
49340,33104,5.11,43,Cam,Cam
49520,32844,4.99,58,Aur,psi07 Aur
49591,32537,5.27,,Pup,x Pup
49606,32753,5.87,33,Gem,Gem
49618,33048,5.34,14,Lyn,Lyn
49619,33048,11.10,14,Lyn,Lyn
49738,32814,5.68,35,Gem,Gem
49877,32531,5.60,,Car,O Car
49908,32921,5.28,36,Gem,d Gem
50013,32759,3.50,13,CMa,kap CMa
50018,33041,6.10,59,Aur,Aur
50019,33018,3.60,34,Gem,the Gem
50037,33064,6.32,60,Aur,Aur
50204,33133,6.46,61,Aur,psi08 Aur
50223,32765,5.14,,Pup,X Pup
50241,32607,3.24,,Pic,alf Pic
50310,32768,2.94,,Pup,tau Pup
50337,32761,4.41,,Car,A Car
50506,31897,5.61,,Men,zet Men
50522,33449,4.35,15,Lyn,Lyn
50635,33202,4.73,38,Gem,e Gem
50658,33377,5.85,,Aur,psi09 Aur
50692,33277,5.74,37,Gem,Gem
50707,33092,4.82,15,CMa,CMa
50778,33160,4.08,14,CMa,the CMa
50877,33152,3.89,16,CMa,omi01 CMa
50973,33485,4.90,16,Lyn,Lyn
51055,33248,5.80,17,CMa,CMa
51199,33302,4.66,19,CMa,pi. CMa
51250,33345,5.00,18,CMa,mu. CMa
51309,33347,4.36,20,CMa,iot CMa
51440,33614,6.02,62,Aur,Aur
51530,33595,6.20,39,Gem,Gem
51557,32912,5.41,,Vol,iot Vol
51688,33650,6.40,40,Gem,Gem
52005,33715,5.73,41,Gem,Gem
52089,33579,1.50,21,CMa,eps CMa
52092,33558,5.07,,Pup,t Pup
52497,33927,5.20,42,Gem,ome Gem
52877,33856,3.49,22,CMa,sig CMa
52918,33971,4.99,19,Mon,Mon
52973,34088,4.01,43,Gem,zet Gem
53047,33779,5.14,23,Car,Car
53138,33977,3.02,24,CMa,omi02 CMa
53244,34045,4.11,23,CMa,gam CMa
53257,34182,6.00,44,Gem,Gem
53633,34572,6.64,17,Lyn,Lyn
53704,34081,5.20,,Pup,C Pup
53791,34356,7.68,,Gem,R Gem
53811,34059,4.92,,Pup,H Pup
54131,34440,5.47,45,Gem,Gem
54239,33384,5.45,,Men,the Men
54475,34339,5.80,,Pup,D Pup
54605,34444,1.83,25,CMa,del CMa
54716,34752,4.91,63,Aur,Aur
54719,34693,4.41,46,Gem,tau Gem
54801,34722,5.75,47,Gem,Gem
54810,34622,4.91,20,Mon,Mon
54893,34495,4.83,,Pup,A Pup
55052,34819,5.85,48,Gem,Gem
55057,34724,5.44,21,Mon,Mon
55156,34861,7.06,49,Gem,Gem
55185,34769,4.15,22,Mon,del Mon
55280,35146,5.20,18,Lyn,Lyn
55383,34909,5.07,51,Gem,Gem
55522,34798,5.91,26,CMa,CMa
55621,35025,5.84,52,Gem,Gem
55719,34802,5.30,,Pup,E Pup
55864,34473,5.68,,Vol,gam01 Vol
55865,34481,3.78,,Vol,gam02 Vol
55870,35152,5.75,53,Gem,Gem
55892,34834,4.49,,Pup,I Pup
55966,36547,4.92,,Cam,VZ Cam
56003,35080,6.42,24,Mon,Mon
56014,34981,4.42,27,CMa,CMa
56022,34899,4.87,,Pup,L01 Pup
56096,34922,4.42,,Pup,L02 Pup
56139,35037,4.01,28,CMa,ome CMa
56221,35341,5.87,64,Aur,Aur
56537,35350,3.58,54,Gem,lam Gem
56577,35210,4.83,145,CMa,CMa
56820,35735,6.36,47,Cam,Cam
56855,35264,2.71,,Pup,pi. Pup
56986,35550,3.50,55,Gem,del Gem
57060,35412,4.88,29,CMa,UW CMa
57061,35415,4.37,30,CMa,tau CMa
57066,35726,7.59,20,Lyn,Lyn
57102,35783,6.86,19,Lyn,Lyn
57103,35785,5.80,19,Lyn,Lyn
57150,35363,4.65,,Pup,v01 Pup
57167,35487,5.70,,CMa,R CMa
57197,35347,5.86,,Pup,M Pup
57219,35406,5.11,,Pup,v02 Pup
57240,35393,5.24,,Pup,F Pup
57264,35710,5.12,65,Aur,Aur
57423,35699,5.09,56,Gem,Gem
57623,35228,3.97,,Vol,del Vol
57669,35907,5.23,66,Aur,Aur
57727,35846,5.04,57,Gem,A Gem
57744,35842,6.17,58,Gem,Gem
57927,35941,5.77,59,Gem,Gem
58142,36145,4.61,21,Lyn,Lyn
58187,35987,5.37,1,CMi,CMi
58207,36046,3.78,60,Gem,iot Gem
58350,35904,2.45,31,CMa,eta CMa
58367,36041,4.99,2,CMi,eps CMi
58579,36156,5.94,61,Gem,Gem
58715,36188,2.89,3,CMi,bet CMi
58728,36238,5.20,63,Gem,Gem
58855,36439,5.35,22,Lyn,Lyn
58923,36265,5.22,5,CMi,eta CMi
58946,36366,4.16,62,Gem,rho Gem
58972,36284,4.33,4,CMi,gam CMi
59037,36393,5.07,64,Gem,Gem
59148,36429,5.01,65,Gem,b Gem
59294,36425,4.55,6,CMi,CMi
59635,36363,5.41,,Pup,y Pup
59693,36521,6.81,,Mon,U Mon
59717,36377,3.25,,Pup,sig Pup
59881,36641,5.24,7,CMi,del01 CMi
60107,36760,5.27,68,Gem,Gem
60111,36723,5.59,8,CMi,del02 CMi
60178,0,2.88,66,Gem,alf Gem
60179,36850,1.98,66,Gem,alf Gem
60357,36812,5.83,9,CMi,del03 CMi
60522,36962,4.06,69,Gem,ups Gem
60584,36817,5.06,,Pup,n Pup
60585,0,5.87,,Pup,n Pup
60606,36778,5.42,,Pup,z Pup
60816,36039,5.54,,Men,eps Men
60863,36917,4.65,,Pup,p Pup
60986,37204,5.58,70,Gem,Gem
61064,37088,5.14,25,Mon,Mon
61106,37406,6.09,23,Lyn,Lyn
61110,37265,4.89,71,Gem,omi Gem
61248,36942,4.93,,Car,Q Car
61330,37096,4.53,,Pup,f Pup
61338,37300,5.04,74,Gem,f Gem
61391,37043,5.69,,Pup,y02 Pup
61421,37279,0.40,10,CMi,alf CMi
61429,37173,4.69,,Pup,m Pup
61497,37609,4.93,24,Lyn,Lyn
61555,37229,3.80,,Pup,kap01 Pup
61556,0,4.62,,Pup,kap02 Pup
61641,37223,5.78,,Pup,e Pup
61715,37174,5.68,,Pup,y03 Pup
61772,37379,4.98,140,Pup,Pup
61831,37297,4.84,,Pup,d01 Pup
61878,37322,5.73,,Pup,d02 Pup
61899,37329,5.76,,Pup,d03 Pup
61925,37345,5.99,,Pup,d04 Pup
61935,37447,3.94,26,Mon,alf Mon
62044,37629,4.23,75,Gem,sig Gem
62066,37949,5.93,51,Cam,Cam
62140,37934,6.50,49,Cam,Cam
62285,37704,5.30,76,Gem,c Gem
62345,37740,3.57,77,Gem,kap Gem
62509,37826,1.16,78,Gem,bet Gem
62510,37811,6.53,79,Gem,Gem
62576,37648,4.63,1,Pup,Pup
62623,37677,3.94,3,Pup,l Pup
62713,37664,5.12,,Pup,W Pup
62721,37908,4.89,81,Gem,g Gem
62832,37921,5.25,11,CMi,CMi
62863,37842,7.03,2,Pup,Pup
62864,37843,6.06,2,Pup,Pup
62898,38016,5.14,80,Gem,pi. Gem
62952,37891,5.03,4,Pup,Pup
63032,37819,3.62,,Pup,c Pup
63077,37853,5.36,171,Pup,Pup
63208,38106,6.18,82,Gem,Gem
63295,37504,3.93,,Vol,zet Vol
63336,38048,5.48,5,Pup,Pup
63462,38070,4.40,,Pup,omi Pup
63660,38146,5.32,188,Pup,Pup
63697,38211,5.17,6,Pup,Pup
63700,38170,3.34,7,Pup,ksi Pup
63744,38089,4.69,,Pup,Q Pup
63922,38164,4.10,,Pup,P Pup
63975,38373,5.12,13,CMi,zet CMi
64077,38372,6.37,8,Pup,Pup
64096,38382,5.16,9,Pup,Pup
64106,38623,6.25,25,Lyn,Lyn
64144,38639,5.47,26,Lyn,Lyn
64145,38538,4.97,83,Gem,phi Gem
64238,38427,5.69,10,Pup,Pup
64379,38423,5.01,212,Pup,Pup
64440,38414,3.71,,Pup,a Pup
64503,38455,4.49,,Pup,b Pup
64648,38722,5.38,85,Gem,Gem
64760,38518,4.22,,Pup,J Pup
64960,38848,5.80,1,Cnc,Cnc
65228,38835,4.20,11,Pup,j Pup
65339,39261,6.02,53,Cam,Cam
65345,38962,5.30,14,CMi,CMi
65456,38901,4.76,,Pup,chi Pup
65551,38872,5.08,,Pup,N Pup
65575,38827,3.46,,Car,chi Car
65626,39348,6.48,54,Cam,Cam
65685,38917,5.14,,Pup,O Pup
65695,39079,4.93,27,Mon,Mon
65699,39023,5.09,12,Pup,Pup
65714,39191,5.87,2,Cnc,ome Cnc
65759,39177,5.60,3,Cnc,Cnc
65818,38957,4.47,,Pup,V Pup
65856,39263,6.32,4,Cnc,Cnc
65873,39236,5.99,5,Cnc,Cnc
65953,39211,4.69,28,Mon,Mon
66141,39311,4.39,,CMi,G CMi
66216,39424,4.94,,Gem,chi Gem
66591,39138,4.81,,Car,D Car
66664,39567,5.14,8,Cnc,Cnc
66811,39429,2.21,,Pup,zet Pup
66824,39722,6.35,28,Lyn,Lyn
66834,39524,6.12,14,Pup,Pup
66875,39659,5.96,9,Cnc,Cnc
67006,39847,4.78,27,Lyn,Lyn
67228,39780,5.30,10,Cnc,mu. Cnc
67447,40215,5.34,55,Cam,Cam
67483,39874,6.25,12,Cnc,Cnc
67523,39757,2.83,15,Pup,rho Pup
67594,39863,4.36,29,Mon,zet Mon
67690,40007,6.44,13,Cnc,psi01 Cnc
67767,40023,5.73,14,Cnc,psi Cnc
67797,39906,4.40,16,Pup,Pup
68146,40035,5.53,18,Pup,Pup
68243,0,4.27,,Vel,gam01 Vel
68256,40167,5.63,16,Cnc,zet02 Cnc
68257,40167,6.02,16,Cnc,zet01 Cnc
68273,39953,1.75,,Vel,gam02 Vel
68290,40084,4.72,19,Pup,Pup
68351,40240,5.62,15,Cnc,Cnc
68456,39903,4.74,,Car,B Car
68457,40474,6.43,56,Cam,Cam
68520,39794,4.35,,Vol,eps Vol
68553,40091,4.44,,Pup,h01 Pup
68752,40259,4.99,20,Pup,Pup
68808,40155,5.77,,Vel,AH Vel
68930,40646,5.63,29,Lyn,Lyn
68980,40274,4.78,,Pup,r Pup
69142,40326,4.42,,Pup,h02 Pup
69148,40772,5.73,57,Cam,Cam
69194,40282,5.52,16,Vel,Vel
69243,40534,7.13,,Cnc,R Cnc
69267,40526,3.53,17,Cnc,bet Cnc
69548,40875,5.89,30,Lyn,Lyn
69665,40604,6.32,21,Pup,Pup
69863,40429,5.16,,Car,C Car
69897,40843,5.13,18,Cnc,chi Cnc
70011,40881,5.92,19,Cnc,lam Cnc
70060,40706,4.44,,Pup,q Pup
70272,41075,4.25,31,Lyn,Lyn
70555,40945,4.83,,Pup,w Pup
70569,41117,5.94,20,Cnc,d01 Cnc
70673,41067,6.13,22,Pup,Pup
70734,41163,6.11,21,Cnc,Cnc
70930,41039,4.79,,Vel,B Vel
70958,41211,5.61,1,Hya,Hya
71030,41319,6.11,25,Cnc,d02 Cnc
71046,40817,5.33,,Vol,kap01 Vol
71066,40834,5.63,,Vol,kap02 Vol
71093,41377,5.58,22,Cnc,phi01 Cnc
71129,41037,1.86,,Car,eps Car
71150,41404,6.30,23,Cnc,phi02 Cnc
71151,0,6.30,23,Cnc,phi02 Cnc
71152,41389,6.51,24,Cnc,Cnc
71153,0,7.81,24,Cnc,Cnc
71155,41307,3.91,,Hya,C Hya
71243,40702,4.05,,Cha,alf Cha
71250,41400,5.56,27,Cnc,Cnc
71297,41375,5.60,2,Hya,Hya
71369,41704,3.35,1,UMa,omi UMa
71496,41574,6.05,28,Cnc,Cnc
71555,41578,5.94,29,Cnc,Cnc
71576,41003,5.28,,Vol,eta Vol
71701,40888,4.34,,Cha,the Cha
71878,41312,3.77,,Vol,bet Vol
71935,41483,5.08,,Vel,F Vel
72037,42080,5.47,2,UMa,A UMa
72041,41816,5.71,30,Cnc,ups01 Cnc
72094,41822,5.33,31,Cnc,the Cnc
72108,41616,5.33,,Vel,A Vel
72291,41975,6.20,32,Lyn,Lyn
72292,41909,5.33,33,Cnc,eta Cnc
72324,41940,6.35,32,Cnc,ups02 Cnc
72359,41904,6.48,34,Cnc,Cnc
72524,42090,5.76,33,Lyn,Lyn
72779,42133,6.55,35,Cnc,Cnc
72905,42438,5.63,3,UMa,pi.01 UMa
72968,42146,5.72,3,Hya,Hya
73108,42527,4.59,4,UMa,pi.02 UMa
73143,42265,5.92,36,Cnc,c Cnc
73155,42088,5.01,,Vel,C Vel
73262,42313,4.14,4,Hya,del Hya
73316,42353,6.54,37,Cnc,Cnc
73340,42177,5.79,,Vel,E Vel
73389,42134,4.84,,Car,e02 Car
73390,42129,5.27,,Car,e01 Car
73471,42402,4.45,5,Hya,sig Hya
73495,42334,5.24,,Pyx,eta Pyx
73575,42485,6.65,38,Cnc,Cnc
73593,42604,5.35,34,Lyn,Lyn
73634,42312,4.11,,Vel,e Vel
73665,42516,6.39,39,Cnc,Cnc
73666,42523,6.61,40,Cnc,Cnc
73731,42556,6.29,41,Cnc,eps Cnc
73785,42578,6.83,42,Cnc,Cnc
73840,42509,4.98,6,Hya,a Hya
73898,42483,4.86,,Pyx,zet Pyx
74006,42515,3.97,,Pyx,bet Pyx
74137,42662,4.87,9,Hya,Hya
74180,42570,3.77,,Vel,b Vel
74195,42536,3.60,,Vel,omi Vel
74198,42806,4.66,43,Cnc,gam Cnc
74228,42795,5.62,45,Cnc,A01 Cnc
74272,42624,4.74,,Vel,n Vel
74280,42799,4.30,7,Hya,eta Hya
74375,42568,4.31,,Car,d Car
74395,42835,4.63,,Hya,F Hya
74405,42425,5.19,,Vol,the Vol
74442,42911,3.94,47,Cnc,del Cnc
74485,42954,6.12,46,Cnc,Cnc
74521,42917,5.63,49,Cnc,b Cnc
74575,42828,3.68,,Pyx,alf Pyx
74591,42931,6.13,10,Hya,Hya
74738,43100,6.58,48,Cnc,iot Cnc
74739,43103,4.03,48,Cnc,iot Cnc
74753,42834,5.15,,Vel,D Vel
74772,42884,4.05,,Vel,d Vel
74873,43121,5.89,50,Cnc,A02 Cnc
74874,43109,3.38,11,Hya,eps Hya
74918,43067,4.32,12,Hya,D Hya
74956,42913,1.93,,Vel,del Vel
75063,43023,3.87,,Vel,a Vel
75137,43234,4.35,13,Hya,rho Hya
75311,43105,4.50,,Car,f Car
75333,43305,5.30,14,Hya,Hya
75416,42637,5.46,,Cha,eta Cha
75486,43644,5.72,5,UMa,b UMa
75506,43531,5.15,35,Lyn,Lyn
75528,43454,6.36,54,Cnc,Cnc
75558,43463,7.63,52,Cnc,Cnc
75630,43325,5.47,,Vel,h Vel
75691,43409,4.02,,Pyx,gam Pyx
75698,43584,5.67,51,Cnc,sig01 Cnc
75710,43347,4.94,,Vel,g Vel
75716,43575,6.25,53,Cnc,Cnc
75732,43587,5.96,55,Cnc,rho01 Cnc
75737,43496,5.55,15,Hya,Hya
75747,42794,6.05,9,Cha,Cha
75821,43413,5.09,,Vel,f Vel
75958,43903,5.57,6,UMa,UMa
75959,43721,5.40,57,Cnc,Cnc
76219,43834,5.23,58,Cnc,rho02 Cnc
76221,43811,6.28,,Cnc,X Cnc
76294,43813,3.11,16,Hya,zet Hya
76351,43851,5.44,60,Cnc,Cnc
76369,43822,6.07,17,Hya,Hya
76370,0,6.67,17,Hya,Hya
76398,43932,5.44,59,Cnc,sig02 Cnc
76483,43825,4.87,,Pyx,del Pyx
76543,43970,5.22,62,Cnc,omi01 Cnc
76572,44031,6.25,61,Cnc,Cnc
76582,44001,5.68,63,Cnc,omi02 Cnc
76644,44127,3.12,9,UMa,iot UMa
76728,43783,3.84,,Car,c Car
76756,44066,4.26,65,Cnc,alf Cnc
76805,43878,4.68,,Vel,H Vel
76813,44154,5.23,64,Cnc,sig03 Cnc
76827,44390,4.74,8,UMa,rho UMa
76943,44248,3.96,10,UMa,UMa
77002,43937,4.93,,Car,b01 Car
77104,44307,5.89,66,Cnc,Cnc
77190,44342,6.07,67,Cnc,Cnc
77258,44191,4.45,,Vel,w Vel
77327,44471,3.57,12,UMa,kap UMa
77350,44405,5.45,69,Cnc,nu. Cnc
77370,44143,5.17,,Car,b02 Car
77557,44512,6.67,70,Cnc,Cnc
77800,44857,5.15,11,UMa,sig01 UMa
77996,44659,4.99,18,Hya,ome Hya
78004,44511,3.75,,Vel,c Vel
78045,44382,4.00,,Vol,alf Vol
78154,45038,4.80,13,UMa,sig02 UMa
78209,44901,4.46,15,UMa,f UMa
78235,44818,5.42,72,Cnc,tau Cnc
78316,44798,5.23,76,Cnc,kap Cnc
78347,44838,7.69,74,Cnc,Cnc
78362,45075,4.67,14,UMa,tau UMa
78363,45075,4.70,14,UMa,tau UMa
78418,44892,5.95,75,Cnc,Cnc
78515,44946,5.16,77,Cnc,ksi Cnc
78541,44824,4.62,,Pyx,kap Pyx
78556,44883,5.60,19,Hya,Hya
78647,44816,2.23,,Vel,lam Vel
78712,45058,6.04,,Cnc,RS Cnc
78715,45033,6.04,79,Cnc,Cnc
78732,44961,5.47,20,Hya,Hya
78764,44626,4.66,,Car,E Car
78791,44599,4.47,,Car,G Car
78922,45001,5.59,,Pyx,eps Pyx
79009,45153,6.87,80,Cnc,Cnc
79028,45333,5.18,16,UMa,c UMa
79096,45170,6.49,81,Cnc,Cnc
79158,45290,5.30,36,Lyn,Lyn
79193,45184,6.10,21,Hya,Hya
79351,45080,3.43,,Car,a Car
79354,45455,5.28,17,UMa,UMa
79439,45493,4.80,18,UMa,e UMa
79447,45101,3.96,,Car,i Car
79469,45336,3.89,22,Hya,the Hya
79554,45410,5.36,82,Cnc,pi. Cnc
79735,45344,5.24,,Vel,z Vel
79807,45386,5.85,,Vel,k01 Vel
79837,43908,5.43,,Oct,zet Oct
79910,45527,5.24,23,Hya,Hya
79917,45439,4.92,,Vel,l Vel
79931,45526,5.49,24,Hya,Hya
79940,45448,4.63,,Vel,k Vel
80007,45238,1.67,,Car,bet Car
80081,45688,3.82,38,Lyn,Lyn
80105,45588,7.35,25,Hya,Hya
80218,45699,6.61,83,Cnc,Cnc
80230,45496,4.34,,Car,g Car
80290,45836,6.14,37,Lyn,Lyn
80404,45556,2.21,,Car,iot Car
80456,45631,5.26,,Vel,K Vel
80493,45860,3.14,40,Lyn,alf Lyn
80499,45751,4.77,26,Hya,Hya
80586,45811,4.80,27,Hya,P Hya
80874,45902,4.71,,Pyx,the Pyx
81101,45856,4.79,,Car,k Car
81146,46146,4.47,1,Leo,kap Leo
81169,46026,4.71,,Pyx,lam Pyx
81188,45941,2.47,,Vel,kap Vel
81420,46221,5.60,28,Hya,Hya
81688,46471,5.40,41,Lyn,Lyn
81728,46365,6.53,29,Hya,Hya
81797,46390,1.99,30,Hya,alf Hya
81799,46371,4.72,,Hya,G Hya
81848,46283,5.09,,Vel,I Vel
81858,46454,5.40,2,Leo,ome Leo
81873,46457,5.72,3,Leo,Leo
81937,46733,3.65,23,UMa,h UMa
81997,46509,4.59,31,Hya,tau01 Hya
82087,46652,5.87,7,LMi,LMi
82150,46515,4.51,,Ant,eps Ant
82189,47013,5.77,22,UMa,UMa
82198,46735,5.39,8,LMi,LMi
82210,46977,4.54,24,UMa,d UMa
82308,46750,4.32,4,Leo,lam Leo
