HD,HIP,Vmag,Fl,Cst,BayerConst
213087,110817,5.52,26,Cep,Cep
213119,110986,5.60,36,Peg,Peg
213235,111062,5.51,37,Peg,Peg
213236,111086,6.36,56,Aqr,Aqr
213296,111138,6.43,,PsA,zet PsA
213306,110991,4.07,27,Cep,del Cep
213307,110988,6.31,27,Cep,del Cep
213310,111022,4.34,5,Lac,Lac
213320,111123,4.82,57,Aqr,sig Aqr
213323,111068,5.64,38,Peg,Peg
213398,111188,4.29,17,PsA,bet PsA
213403,110787,5.83,28,Cep,Cep
213420,111104,4.52,6,Lac,Lac
213442,111310,4.91,,Tuc,nu. Tuc
213464,111200,6.39,58,Aqr,Aqr
213558,111169,3.76,7,Lac,alf Lac
213617,111278,6.43,39,Peg,Peg
213789,111394,5.88,60,Aqr,Aqr
213798,111056,5.45,29,Cep,rho Cep
213845,111449,5.21,59,Aqr,ups Aqr
213998,111497,4.04,62,Aqr,eta Aqr
214085,111594,6.28,,Gru,sig01 Gru
214150,111643,5.85,,Gru,sig02 Gru
214167,111546,5.73,8,Lac,Lac
214168,111544,6.60,8,Lac,Lac
214376,111710,5.04,63,Aqr,kap Aqr
214454,111674,4.64,9,Lac,Lac
214470,111532,5.08,31,Cep,Cep
214567,111810,5.84,40,Peg,Peg
214680,111841,4.89,10,Lac,Lac
214698,111884,6.33,41,Peg,Peg
214734,111797,5.19,30,Cep,Cep
214748,111954,4.18,18,PsA,eps PsA
214846,112405,4.13,,Oct,bet Oct
214868,111944,4.50,11,Lac,Lac
214923,112029,3.41,42,Peg,zet Peg
214952,112122,2.07,,Gru,bet Gru
214966,112102,6.12,19,PsA,PsA
214993,112031,5.25,12,Lac,Lac
214994,112051,4.80,43,Peg,omi Peg
215104,112203,4.84,,Gru,rho Gru
215143,112179,6.40,67,Aqr,Aqr
215167,112211,4.68,66,Aqr,g Aqr
215182,112158,2.93,44,Peg,eta Peg
215369,112374,4.84,,Gru,eta Gru
215373,112242,5.11,13,Lac,Lac
215510,112358,6.27,45,Peg,Peg
215573,112781,5.32,,Oct,ksi Oct
215648,112447,4.20,46,Peg,ksi Peg
215665,112440,3.97,47,Peg,lam Peg
215721,112529,5.24,68,Aqr,Aqr
215766,112542,5.68,69,Aqr,tau01 Aqr
215789,112623,3.49,,Gru,eps Gru
215874,112615,6.19,70,Aqr,Aqr
216032,112716,4.05,71,Aqr,tau02 Aqr
216131,112748,3.51,48,Peg,mu. Peg
216200,112778,5.91,14,Lac,Lac
